receptor_id,redocking_validation_tier,vina_affinity_kcal_mol,connectivity_aware_in_place_rmsd_A,centroid_shift_A,contact_recovery_percent,new_contact_percent_of_docked,polar_contact_recovery_percent,new_polar_contact_percent_of_docked,pocket_alignment_rmsd_A,pocket_alignment_risk
buried_6_model_3_sample2_model,Tier_A_connectivity_and_polar_supported_pose,-9.082,1.7552,0.9097,94.4444,5.5556,100.0,57.1429,0.6459,Acceptable_pocket_alignment
buried_1_model_0_sample8_model,Tier_A_connectivity_and_polar_supported_pose,-8.635,1.1457,0.4121,91.3043,4.5455,81.8182,18.1818,0.381,Acceptable_pocket_alignment
buried_4_model_3_sample8_model,Tier_A_connectivity_and_polar_supported_pose,-8.275,0.8355,0.7234,85.0,0.0,75.0,0.0,0.3242,Acceptable_pocket_alignment
buried_6_model_1_sample5_model,Tier_A_connectivity_and_polar_supported_pose,-7.895,1.3126,0.2991,75.0,7.6923,,100.0,0.4636,Acceptable_pocket_alignment
buried_5_model_6_sample8_model,Tier_A_connectivity_and_polar_supported_pose,-7.745,0.8982,0.6986,95.2381,0.0,60.0,40.0,0.4773,Acceptable_pocket_alignment
buried_0_model_7_sample1_model,Tier_B_partially_supported_pose,-8.745,1.0008,0.6942,71.4286,11.7647,100.0,37.5,0.6337,Acceptable_pocket_alignment
buried_7_model_9_sample4_model,Tier_B_partially_supported_pose,-8.519,2.064,1.095,77.7778,0.0,50.0,0.0,0.6061,Acceptable_pocket_alignment
buried_7_model_2_sample4_model,Tier_B_partially_supported_pose,-8.255,1.294,1.188,82.3529,6.6667,100.0,33.3333,0.3662,Acceptable_pocket_alignment
buried_4_model_0_sample9_model,Tier_B_partially_supported_pose,-6.997,1.8283,1.3834,75.0,0.0,62.5,16.6667,0.3222,Acceptable_pocket_alignment
buried_6_model_5_sample3_model,Tier_C_low_priority_pose,-9.284,3.4403,2.6163,72.2222,18.75,50.0,66.6667,0.2934,Acceptable_pocket_alignment
buried_1_model_1_sample1_model,Tier_C_low_priority_pose,-9.044,6.6595,0.8708,88.2353,25.0,66.6667,60.0,0.4203,Acceptable_pocket_alignment
buried_4_model_6_sample7_model,Tier_C_low_priority_pose,-8.981,3.4656,1.5997,86.6667,7.1429,33.3333,60.0,0.8668,Borderline_pocket_deviation
buried_3_model_6_sample3_model,Tier_C_low_priority_pose,-8.976,4.1969,2.4164,61.1111,35.2941,42.8571,50.0,0.544,Acceptable_pocket_alignment
buried_5_model_0_sample5_model,Tier_C_low_priority_pose,-8.664,6.883,0.5658,82.3529,17.6471,40.0,50.0,0.379,Acceptable_pocket_alignment
buried_2_model_2_sample1_model,Tier_C_low_priority_pose,-8.488,3.6914,1.6857,83.3333,21.0526,0.0,100.0,0.4725,Acceptable_pocket_alignment
buried_4_model_5_sample1_model,Tier_C_low_priority_pose,-8.487,3.521,3.1621,55.5556,37.5,0.0,,0.569,Acceptable_pocket_alignment
buried_6_model_7_sample10_model,Tier_C_low_priority_pose,-8.115,6.3438,1.6843,56.25,35.7143,0.0,100.0,0.3979,Acceptable_pocket_alignment
buried_6_model_8_sample9_model,Tier_C_low_priority_pose,-8.035,6.6757,4.6357,61.5385,38.4615,0.0,100.0,0.5645,Acceptable_pocket_alignment
buried_5_model_3_sample6_model,Tier_C_low_priority_pose,-7.811,6.9351,0.4465,75.0,14.2857,33.3333,66.6667,1.6319,High_risk_pocket_deviation
buried_7_model_0_sample3_model,Tier_C_low_priority_pose,-7.779,3.3245,1.71,75.0,20.0,25.0,66.6667,0.5113,Acceptable_pocket_alignment
buried_3_model_5_sample5_model,Tier_C_low_priority_pose,-7.378,3.4549,1.4122,73.3333,15.3846,44.4444,20.0,0.6645,Acceptable_pocket_alignment
buried_2_model_8_sample3_model,Tier_C_low_priority_pose,-7.333,3.3144,0.8936,81.8182,30.7692,80.0,42.8571,0.9496,Borderline_pocket_deviation
buried_0_model_5_sample7_model,Tier_C_low_priority_pose,-7.274,7.3879,5.4769,53.3333,27.2727,0.0,100.0,0.4493,Acceptable_pocket_alignment
buried_7_model_7_sample5_model,Tier_C_low_priority_pose,-7.231,6.746,1.6573,81.8182,5.2632,50.0,62.5,0.5293,Acceptable_pocket_alignment
buried_0_model_9_sample9_model,Tier_C_low_priority_pose,-6.806,4.1996,2.0994,68.4211,0.0,66.6667,50.0,0.578,Acceptable_pocket_alignment
buried_4_model_4_sample7_model,Tier_C_low_priority_pose,-5.962,13.4192,11.937,17.6471,72.7273,0.0,100.0,0.4092,Acceptable_pocket_alignment
buried_5_model_9_sample7_model,Tier_C_low_priority_pose,-5.921,8.7953,6.2254,57.1429,20.0,0.0,100.0,0.453,Acceptable_pocket_alignment
buried_5_model_1_sample4_model,Tier_C_low_priority_pose,-5.899,1.6686,1.3167,85.0,5.5556,0.0,100.0,0.6139,Acceptable_pocket_alignment
buried_2_model_9_sample3_model,Tier_C_low_priority_pose,-5.371,9.2198,8.6393,31.5789,33.3333,66.6667,66.6667,0.4,Acceptable_pocket_alignment
buried_8_model_2_sample7_model,Tier_C_low_priority_pose,-5.279,13.5304,11.948,4.5455,88.8889,0.0,100.0,0.452,Acceptable_pocket_alignment
